artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Ed Sheeran,I Don't Care (with Justin Bieber) - Loud Luxury Remix,6f807x0ima9a1j3VPbc7VN,66.0,0.748,0.916,6.0,-2.634,1.0,0.0583,0.102,0.0,0.0653,0.518,122.036
Maroon 5,Memories - Dillon Francis Remix,0r7CVbZTWZgbTCYdfa2P31,67.0,0.726,0.815,11.0,-4.969,1.0,0.0373,0.0724,0.00421,0.357,0.693,99.972
Zara Larsson,All the Time - Don Diablo Remix,1z1Hg7Vb0AhHDiEmnDE79l,70.0,0.675,0.931,1.0,-3.432,0.0,0.0742,0.0794,2.33e-05,0.11,0.613,124.008
The Chainsmokers,Call You Mine - Keanu Silva Remix,75FpbthrwQmzHlBJLuGdC7,60.0,0.718,0.93,7.0,-3.778,1.0,0.102,0.0287,9.43e-06,0.204,0.277,121.956
Lewis Capaldi,Someone You Loved - Future Humans Remix,1e8PAfcKUYoKkxPhrHqw4x,69.0,0.65,0.833,1.0,-4.672,1.0,0.0359,0.0803,0.0,0.0833,0.725,123.976
Ed Sheeran,Beautiful People (feat. Khalid) - Jack Wins Remix,7fvUMiyapMsRRxr07cU8Ef,67.0,0.675,0.919,8.0,-5.385,1.0,0.127,0.0799,0.0,0.143,0.585,124.982
Katy Perry,Never Really Over - R3HAB Remix,2OAylPUDDfwRGfe0lYqlCQ,62.0,0.449,0.856,5.0,-4.788,0.0,0.0623,0.187,0.0,0.176,0.152,112.648
Sam Feldt,Post Malone (feat. RANI) - GATTÜSO Remix,6b1RNvAcJjQH73eZO4BLAB,69.0,0.542,0.903,4.0,-2.419,0.0,0.0434,0.0335,4.83e-06,0.111,0.367,127.936
Avicii,Tough Love - Tiësto Remix / Radio Edit,7bF6tCO3gFb8INrEDcjNT5,68.0,0.594,0.935,8.0,-3.562,1.0,0.0565,0.0249,3.97e-06,0.637,0.366,127.015
Shawn Mendes,If I Can't Have You - Gryffin Remix,1IXGILkPm0tOCNeq00kCPa,67.0,0.642,0.818,2.0,-4.552,1.0,0.032,0.0567,0.0,0.0919,0.59,124.957
